[2023-10-10T09:52:53Z INFO ] loading target linux/amd64...
[2023-10-10T09:52:54Z INFO ] loading extra relations...
[2023-10-10T09:52:54Z INFO ] pre-booting one vm...
[2023-10-10T09:53:05Z INFO ] boot cost around 10s
[2023-10-10T09:53:05Z INFO ] detecting features...
[2023-10-10T09:53:05Z INFO ] code coverage               : enabled
[2023-10-10T09:53:05Z INFO ] setuid sandbox              : enabled
[2023-10-10T09:53:05Z INFO ] Android sandbox             : enabled
[2023-10-10T09:53:05Z INFO ] net device setup            : enabled
[2023-10-10T09:53:05Z INFO ] pre-setup one executor...
[2023-10-10T09:53:07Z INFO ] ok, fuzzer-0 should be ready
[2023-10-10T09:53:07Z INFO ] fuzzer-0: online
[2023-10-10T09:53:17Z INFO ] exec: 303, fuzz/repro 1/0, uniq/total crashes 0/0, cal/max cover 3450/3494, corpus: 24
[2023-10-10T09:53:20Z INFO ] fuzzer-1: online
[2023-10-10T09:53:25Z INFO ] fuzzer-2: online
[2023-10-10T09:53:27Z INFO ] exec: 961, fuzz/repro 3/0, uniq/total crashes 0/0, cal/max cover 8990/9694, corpus: 71
[2023-10-10T09:53:30Z INFO ] fuzzer-3: online
[2023-10-10T09:53:37Z INFO ] exec: 2145, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 12571/12757, corpus: 199
[2023-10-10T09:53:47Z INFO ] exec: 3275, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 15101/15515, corpus: 311
[2023-10-10T09:53:57Z INFO ] exec: 4587, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 19090/19613, corpus: 414
[2023-10-10T09:54:07Z INFO ] exec: 5512, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 20249/20768, corpus: 486
[2023-10-10T09:54:17Z INFO ] exec: 6353, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 21075/21868, corpus: 554
[2023-10-10T09:54:27Z INFO ] exec: 6807, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 22532/23089, corpus: 596
[2023-10-10T09:54:37Z INFO ] exec: 7407, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 24857/25363, corpus: 635
[2023-10-10T09:54:47Z INFO ] exec: 8014, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 26173/26667, corpus: 675
[2023-10-10T09:54:57Z INFO ] exec: 8665, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 26389/26903, corpus: 700
[2023-10-10T09:55:07Z INFO ] exec: 9308, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 27356/27930, corpus: 747
[2023-10-10T09:55:17Z INFO ] exec: 9515, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 27466/28042, corpus: 757
[2023-10-10T09:55:27Z INFO ] exec: 9909, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 28747/29248, corpus: 785
[2023-10-10T09:55:37Z INFO ] exec: 10668, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 29908/30400, corpus: 835
[2023-10-10T09:55:47Z INFO ] exec: 11523, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 31035/31735, corpus: 899
[2023-10-10T09:55:57Z INFO ] exec: 12446, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 31779/32546, corpus: 954
[2023-10-10T09:56:07Z INFO ] exec: 13318, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 32401/33195, corpus: 1012
[2023-10-10T09:56:17Z INFO ] exec: 13605, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 32975/33691, corpus: 1029
[2023-10-10T09:56:27Z INFO ] exec: 14025, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 33268/33983, corpus: 1052
[2023-10-10T09:56:37Z INFO ] exec: 14201, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 35637/36347, corpus: 1060
[2023-10-10T09:56:47Z INFO ] exec: 14708, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 35924/36665, corpus: 1087
[2023-10-10T09:56:57Z INFO ] exec: 15427, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 36533/37352, corpus: 1120
[2023-10-10T09:57:07Z INFO ] exec: 16170, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 36817/37610, corpus: 1157
[2023-10-10T09:57:17Z INFO ] exec: 16498, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 36912/37689, corpus: 1173
[2023-10-10T09:57:27Z INFO ] exec: 17263, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 37092/37870, corpus: 1191
[2023-10-10T09:57:37Z INFO ] exec: 17378, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 37122/37920, corpus: 1197
[2023-10-10T09:57:47Z INFO ] exec: 17636, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 37457/38249, corpus: 1214
