[2023-10-18T03:50:01Z INFO ] exec: 1512, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 10215/10533, corpus: 139
[2023-10-18T03:50:11Z INFO ] exec: 1995, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 12089/12700, corpus: 178
[2023-10-18T03:50:21Z INFO ] exec: 2438, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 13125/13682, corpus: 212
[2023-10-18T03:50:31Z INFO ] exec: 2808, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 15555/15941, corpus: 248
[2023-10-18T03:50:41Z INFO ] exec: 3569, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 18383/18768, corpus: 314
[2023-10-18T03:50:51Z INFO ] exec: 4345, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 18858/19284, corpus: 345
[2023-10-18T03:51:01Z INFO ] exec: 4474, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 19161/19624, corpus: 356
[2023-10-18T03:51:11Z INFO ] exec: 5341, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 20313/20744, corpus: 428
[2023-10-18T03:51:21Z INFO ] exec: 6136, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 21103/21551, corpus: 490
[2023-10-18T03:51:31Z INFO ] exec: 6365, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 21350/21842, corpus: 504
[2023-10-18T03:51:41Z INFO ] exec: 6708, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 21383/21842, corpus: 507
[2023-10-18T03:51:51Z INFO ] exec: 6894, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 21749/22140, corpus: 525
[2023-10-18T03:52:01Z INFO ] exec: 7539, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 24330/24714, corpus: 573
[2023-10-18T03:52:11Z INFO ] exec: 8323, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 25192/25557, corpus: 634
[2023-10-18T03:52:21Z INFO ] exec: 9299, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 26122/26636, corpus: 699
[2023-10-18T03:52:31Z INFO ] exec: 9924, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 26590/27119, corpus: 737
[2023-10-18T03:52:41Z INFO ] exec: 10428, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 27392/27984, corpus: 777
[2023-10-18T03:52:51Z INFO ] exec: 10552, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 27677/28272, corpus: 786
[2023-10-18T03:53:01Z INFO ] exec: 10850, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 27971/28580, corpus: 806
[2023-10-18T03:53:11Z INFO ] exec: 11087, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 28460/29074, corpus: 823
[2023-10-18T03:53:21Z INFO ] exec: 11636, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 29610/30200, corpus: 855
[2023-10-18T03:53:31Z INFO ] exec: 12592, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 30482/31100, corpus: 913
[2023-10-18T03:53:41Z INFO ] exec: 12734, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 30553/31176, corpus: 922
[2023-10-18T03:53:51Z INFO ] exec: 13149, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 30682/31356, corpus: 934
[2023-10-18T03:54:01Z INFO ] exec: 13342, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 30990/31673, corpus: 944
[2023-10-18T03:54:11Z INFO ] exec: 13724, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 31149/31843, corpus: 964
[2023-10-18T03:54:21Z INFO ] exec: 14128, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 31310/32025, corpus: 990
[2023-10-18T03:54:31Z INFO ] exec: 15056, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 34393/35171, corpus: 1042
[2023-10-18T03:54:41Z INFO ] exec: 16302, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 34917/35666, corpus: 1092
[2023-10-18T03:54:51Z INFO ] exec: 16573, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 35002/35754, corpus: 1108
[2023-10-18T03:55:01Z INFO ] exec: 17593, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 35105/35859, corpus: 1120
[2023-10-18T03:55:11Z INFO ] exec: 18284, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 36490/37308, corpus: 1148
[2023-10-18T03:55:21Z INFO ] exec: 18986, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 36951/37828, corpus: 1184
[2023-10-18T03:55:31Z INFO ] exec: 20215, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 37354/38268, corpus: 1210
[2023-10-18T03:55:41Z INFO ] exec: 20352, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 37832/38732, corpus: 1216
[2023-10-18T03:55:51Z INFO ] exec: 20500, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 37943/38846, corpus: 1221
[2023-10-18T03:56:01Z INFO ] exec: 20719, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 38091/39004, corpus: 1233
[2023-10-18T03:56:11Z INFO ] exec: 21274, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 38442/39379, corpus: 1265
[2023-10-18T03:56:21Z INFO ] exec: 21411, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 38516/39460, corpus: 1272
[2023-10-18T03:56:31Z INFO ] exec: 21464, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 38542/39487, corpus: 1276
[2023-10-18T03:56:41Z INFO ] exec: 21745, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 38648/39613, corpus: 1287
[2023-10-18T03:56:51Z INFO ] exec: 22669, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 38913/39910, corpus: 1327
[2023-10-18T03:57:01Z INFO ] exec: 23499, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 39185/40221, corpus: 1358
