[2023-10-17T13:01:56Z INFO ] loading target linux/amd64...
[2023-10-17T13:01:57Z INFO ] pre-booting one vm...
[2023-10-17T13:02:08Z INFO ] boot cost around 10s
[2023-10-17T13:02:08Z INFO ] detecting features...
[2023-10-17T13:02:08Z INFO ] code coverage               : enabled
[2023-10-17T13:02:08Z INFO ] setuid sandbox              : enabled
[2023-10-17T13:02:08Z INFO ] Android sandbox             : enabled
[2023-10-17T13:02:08Z INFO ] net device setup            : enabled
[2023-10-17T13:02:08Z INFO ] pre-setup one executor...
[2023-10-17T13:02:10Z INFO ] ok, fuzzer-0 should be ready
[2023-10-17T13:02:10Z INFO ] fuzzer-0: online
[2023-10-17T13:02:20Z INFO ] exec: 593, fuzz/repro 1/0, uniq/total crashes 0/0, cal/max cover 5709/5733, corpus: 60
[2023-10-17T13:02:23Z INFO ] fuzzer-1: online
[2023-10-17T13:02:28Z INFO ] fuzzer-2: online
[2023-10-17T13:02:30Z INFO ] exec: 1360, fuzz/repro 3/0, uniq/total crashes 0/0, cal/max cover 10496/10814, corpus: 138
[2023-10-17T13:02:33Z INFO ] fuzzer-3: online
[2023-10-17T13:02:40Z INFO ] exec: 1915, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 12376/13152, corpus: 180
[2023-10-17T13:02:50Z INFO ] exec: 2641, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 14343/14716, corpus: 258
[2023-10-17T13:03:00Z INFO ] exec: 2823, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 15118/15456, corpus: 273
[2023-10-17T13:03:10Z INFO ] exec: 3144, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 15683/16009, corpus: 305
[2023-10-17T13:03:20Z INFO ] exec: 3405, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 16801/17091, corpus: 331
[2023-10-17T13:03:30Z INFO ] exec: 4370, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 20242/20663, corpus: 424
[2023-10-17T13:03:40Z INFO ] exec: 5590, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 22198/22647, corpus: 516
[2023-10-17T13:03:50Z INFO ] exec: 6387, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 23245/23786, corpus: 576
[2023-10-17T13:04:00Z INFO ] exec: 7421, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 24927/25475, corpus: 652
[2023-10-17T13:04:10Z INFO ] exec: 8146, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 25793/26432, corpus: 702
[2023-10-17T13:04:20Z INFO ] exec: 8323, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 26082/26612, corpus: 714
[2023-10-17T13:04:30Z INFO ] exec: 8356, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 26103/26633, corpus: 716
[2023-10-17T13:04:40Z INFO ] exec: 8588, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 26315/26862, corpus: 732
[2023-10-17T13:04:50Z INFO ] exec: 9378, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 26859/27515, corpus: 783
[2023-10-17T13:05:00Z INFO ] exec: 9889, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 28233/28776, corpus: 800
[2023-10-17T13:05:10Z INFO ] exec: 10186, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 28405/28931, corpus: 818
[2023-10-17T13:05:20Z INFO ] exec: 10198, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 28405/28931, corpus: 818
[2023-10-17T13:05:30Z INFO ] exec: 10542, fuzz/repro 4/0, uniq/total crashes 0/0, cal/max cover 28691/29236, corpus: 836
